Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IS,IS.EA-Iceland.AQ,NET-IS006A,STA-IS0041A,IS0041A,SPO-IS0041A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_gro,SPO_F-IS0041A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,2.1088300000,µg/m3,2021-01-02 20:00:00 +01:00,2021-01-02 21:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS006A,STA-IS0041A,IS0041A,SPO-IS0041A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_gro,SPO_F-IS0041A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,3.1693300000,µg/m3,2021-01-02 23:00:00 +01:00,2021-01-03 00:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS006A,STA-IS0041A,IS0041A,SPO-IS0041A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_gro,SPO_F-IS0041A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,2.6098300000,µg/m3,2021-01-03 01:00:00 +01:00,2021-01-03 02:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS006A,STA-IS0041A,IS0041A,SPO-IS0041A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_gro,SPO_F-IS0041A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,2.2826700000,µg/m3,2021-01-03 02:00:00 +01:00,2021-01-03 03:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS006A,STA-IS0041A,IS0041A,SPO-IS0041A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_gro,SPO_F-IS0041A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,2.7400000000,µg/m3,2021-01-03 03:00:00 +01:00,2021-01-03 04:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS006A,STA-IS0041A,IS0041A,SPO-IS0041A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_gro,SPO_F-IS0041A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,4.3878300000,µg/m3,2021-01-03 06:00:00 +01:00,2021-01-03 07:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS006A,STA-IS0041A,IS0041A,SPO-IS0041A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_gro,SPO_F-IS0041A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,4.8005000000,µg/m3,2021-01-03 08:00:00 +01:00,2021-01-03 09:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS006A,STA-IS0041A,IS0041A,SPO-IS0041A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_gro,SPO_F-IS0041A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,4.6088300000,µg/m3,2021-01-03 09:00:00 +01:00,2021-01-03 10:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS006A,STA-IS0041A,IS0041A,SPO-IS0041A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_gro,SPO_F-IS0041A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,2.8558300000,µg/m3,2021-01-03 11:00:00 +01:00,2021-01-03 12:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS006A,STA-IS0041A,IS0041A,SPO-IS0041A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_gro,SPO_F-IS0041A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,2.7620000000,µg/m3,2021-01-03 13:00:00 +01:00,2021-01-03 14:00:00 +01:00,1,1
